GENE,PATHWAY Z-SCORE,MUTATION Z-SCORE,Z-SCORE: GSE60336,Z-SCORE: GSE_60337,"SPATH Z-SCORE
"
GM11127,3.5276346870186956,0,0,0,0
H2-T24,3.5276346870186956,-0.44529119410048024,-0.2338705202269138,0.910994930600889,0
H2-D1,3.5276346870186956,0,0,0,0
SLC22A13,3.5276346870186956,0,0,0,0
CD1D2,3.5276346870186956,0,0,0,0
CD1D1,3.5276346870186956,0,0,0,0
B2M,3.5276346870186956,0,0,0,0
AZGP1,3.5276346870186956,0,0,0,0
GM8909,3.5276346870186956,-0.44529119410048024,0,0,0
H2-M10.2,3.5276346870186956,0,0,0,0
TAP2,3.5276346870186956,0,0,0,0
ARID5A,3.5276346870186956,0,0,0,0
H2-M5,3.5276346870186956,0,0,0,0
H2-BL,3.5276346870186956,-0.44529119410048024,-0.018339574065306303,-0.5231546854377246,0
HSPD1,3.5276346870186956,0,0,0,0
IL18,3.5276346870186956,0,0,0,0
PRKCZ,3.5276346870186956,0,0,0,0
IL6,3.5276346870186956,0,0,0,0
IL4,3.5276346870186956,0,0,0,0
RSAD2,3.5276346870186956,0,0,0,0
DENND1B,3.5276346870186956,0,0,0,0
GM7030,3.5276346870186956,0,0,0,0
IL23A,3.5276346870186956,0,0,0,0
H2-M10.6,3.5276346870186956,-0.44529119410048024,-0.732597447380153,-0.5755035328399029,0
PNP,3.5276346870186956,0,0,0,0
NLRP3,3.5276346870186956,0,0,0,0
H2-M10.5,3.5276346870186956,-0.2348326908865122,-0.07092889005964093,-0.23529959949848891,0
FZD5,3.5276346870186956,0,0,0,0
TRAF2,3.5276346870186956,0,0,0,0
ZBTB1,3.5276346870186956,0,0,0,0
TRAF6,3.5276346870186956,0,0,0,0
HSPA8,3.5276346870186956,0,0,0,0
IL18R1,3.5276346870186956,0,0,0,0
P2RX7,3.5276346870186956,0,0,0,0
CYRIB,3.5276346870186956,0,0,0,0
H2-Q8,3.5276346870186956,0,0,0,0
MALT1,3.5276346870186956,0,0,0,0
STX7,3.5276346870186956,0,0,0,0
H2-M10.3,3.5276346870186956,0,0,0,0
ZP3,3.5276346870186956,0,0,0,0
SASH3,3.5276346870186956,0,0,0,0
H2-T3,3.5276346870186956,0,0,0,0
H2-T23,3.5276346870186956,-0.3926765682969882,-0.5648980676133991,1.4936173346555812,0
H2-T22,3.5276346870186956,0,0,0,0
H2-T10,3.5276346870186956,-0.44529119410048024,0.655709151224861,-0.27477041742316777,0
H2-Q9,3.5276346870186956,0,0,0,0
H2-Q7,3.5276346870186956,0,0,0,0
H2-Q6,3.5276346870186956,0,0,0,0
H2-Q4,3.5276346870186956,0,0,0,0
H2-Q2,3.5276346870186956,0,0,0,0
H2-Q10,3.5276346870186956,0,0,0,0
H2-Q1,3.5276346870186956,0,0,0,0
H2-M3,3.5276346870186956,0,0,0,0
H2-M2,3.5276346870186956,0,0,0,0
H2-M1,3.5276346870186956,0,0,0,0
H2-L,3.5276346870186956,0,0,0,0
H2-K1,3.5276346870186956,0,0,0,0
GATA3,3.5276346870186956,0,0,0,0
P01896,3.5276346870186956,0,0,0,0
CD24A,3.5276346870186956,0,0,0,0
XCL1,3.5276346870186956,0,0,0,0
TNFSF4,3.5276346870186956,0,0,0,0
IL1R1,3.5276346870186956,0,0,0,0
IL1B,3.5276346870186956,0,0,0,0
IL12B,3.5276346870186956,0,0,0,0
IL12A,3.5276346870186956,0,0,0,0
MR1,3.5276346870186956,0,0,0,0
FADD,3.5276346870186956,0,0,0,0
H2-M11,3.5276346870186956,0,0,0,0
CD81,3.5276346870186956,0,0,0,0
SLAMF1,3.5276346870186956,0,0,0,0
H2-M9,3.5276346870186956,-0.3926765682969882,-0.6800209717031983,-0.4609126906377258,0
H2-M10.4,3.5276346870186956,-0.44529119410048024,0.6108265259681277,0.11833759845688095,0
H2-M10.1,3.5276346870186956,0,0,0,0
FOXP3,3.5276346870186956,0,0,0,0
NECTIN2,3.5276346870186956,0,0,0,0
PTPRC,3.5276346870186956,0,0,0,0
KCNH1,3.5276346870186956,0,0,0,0
GNAO1,3.5276346870186956,0,0,0,0
KCNH3,3.5276346870186956,0,0,0,0
KCNH2,3.5276346870186956,0,0,0,0
CSDE1,3.5276346870186956,0,0,0,0
GTPBP2,3.5276346870186956,0,0,0,0
PELO,3.5276346870186956,0,0,0,0
CNOT6,3.5276346870186956,0,0,0,0
DRD4,3.5276346870186956,0,0,0,0
DRD3,3.5276346870186956,0,0,0,0
DRD2,3.5276346870186956,0,0,0,0
IL4I1,1.727544673113082,0,0,0,0
SPN,1.9847003893853126,0,0,0,0
FUT7,1.4703889568408515,0,0,0,0
HFE,1.4703889568408515,0,0,0,0
DPP4,1.727544673113082,0,0,0,0
NOD2,3.270478970746465,0,0,0,0
CCR2,2.756167538202004,0,0,0,0
