,Gene,Z-Score
0,1300017J02Rik,-0.586856773
1,1700030A11Rik,-0.445291194
2,1700097N02Rik,-0.024374188
3,1810058I24Rik,-0.586856773
4,2-Mar,-0.234832691
5,2300002M23Rik,"-0.234832691, -0.080235316, -0.64552939"
6,2310061I04Rik,"-0.129603439, -0.461277202, 0.750403346"
7,2410017I17Rik,"-0.445291194, -0.674880326, -0.912718695"
8,2610528A11Rik,-0.586856773
9,3830403N18Rik,-0.84401249
10,4833413E03Rik,-0.445291194
11,4833427F10Rik,-0.340061942
12,4921501E09Rik,"1.711908464, -0.644175235, -0.937093794"
13,4930430F08Rik,-0.84401249
14,4930474N05Rik,-0.84401249
15,4930486L24Rik,-0.586856773
16,4930539E08Rik,"-0.445291194, -0.596744779, -0.885480118"
17,6030468B19Rik,3.013323254
18,9530003J23Rik,-0.586856773
19,A2m,0.698921808
20,ABCF1,0.782535286
21,ABCG1,3.059576156
22,ADAMTS10,3.059576156
23,AKAP8,-0.158930132
24,AKAP8L,-1.19231019
25,ATAT1,1.322412995
26,AY036118,-0.84401249
27,AY761185,-0.586856773
28,Abca15,-0.84401249
29,Abcb10,-0.586856773
30,Abcb9,-0.84401249
31,Abcc9,-0.586856773
32,Abcf1,"-0.445291194, -0.608276897, -0.903013963"
33,Abcf3,-0.586856773
34,Abcg1,"-0.234832691, 0.449549812, -0.757064971"
35,Abi1,-0.84401249
36,Abl1,0.441766092
37,Abl2,-0.84401249
38,Abr,0.441766092
39,Ace,-0.84401249
40,Ackr2,-0.586856773
41,Ackr3,-0.586856773
42,Ackr4,-0.586856773
43,Acod1,0.441766092
44,Acp5,-0.586856773
45,Acp6,-0.84401249
46,Actg1,-0.586856773
47,Actl9,"0.291313567, -0.010980793, -0.029465185"
48,Actn1,-0.84401249
49,Actr2,-0.586856773
50,Actr3,-0.586856773
51,Acvr1b,-0.586856773
52,Acvr2a,-0.586856773
53,Ada,1.470388957
54,Adam10,-0.329701057
55,Adam15,-0.586856773
56,Adam17,-0.072545341
57,Adam8,0.441766092
58,Adam9,-0.84401249
59,Adamts10,"3.237732612, -0.674943334, -0.474716473"
60,Adamts4,-0.586856773
61,Adamts5,-0.586856773
62,Adar,-0.072545341
63,Adcy7,0.184610375
64,Adcyap1,-0.072545341
65,Add1,-0.84401249
66,Add2,-0.84401249
67,Adgrb1,-0.586856773
68,Adgre1,-0.586856773
69,Adgrf4,-0.84401249
70,Adgrf5,-0.586856773
71,Adgrg3,-0.84401249
72,Adipoq,-0.586856773
73,Adk,-0.329701057
74,Adm,-0.586856773
75,Adora1,-0.586856773
76,Adora2a,-0.586856773
77,Adora2b,1.213233241
78,Adora3,1.213233241
79,Adrm1,-0.586856773
80,Adtrp,-0.586856773
81,Agbl4,-0.586856773
82,Agbl5,-0.586856773
83,Ager,1.727544673
84,Agpat5,-0.84401249
85,Ahctf1,-0.84401249
