Gene,Mutation CDF
G,0.5
2300002M23Rik,0.5322286020866925
2310061I04Rik,0.5322286020866925
4833413E03Rik,0.5322286020866925
4921501E09Rik,0.9154101472361788
4930539E08Rik,0.5642472157888833
Actl9,0.5642472157888833
Ager,0.5322286020866925
Atf6b,0.5322286020866925
BC051142,0.5322286020866925
Brd4,0.5322286020866925
Btbd9,0.5642472157888833
Btnl1,0.5642472157888833
Btnl2,0.6570281952427544
Btnl4,0.9999956668445749
Btnl6,0.9999999879913846
C4b,0.6570281952427544
Cbs,0.5322286020866925
Col11a2,0.6862466543856541
Cpne5,0.5322286020866925
Cyp21a1,0.714341305648531
Cyp4f13,0.6570281952427544
Cyp4f15,0.5322286020866925
Cyp4f17,0.5322286020866925
Daxx,0.5322286020866925
Dnah8,0.5322286020866925
Ephx3,0.5322286020866925
Esp31,0.5958499484021504
Esp34,0.5322286020866925
Fgd2,0.5958499484021504
Fkbpl,0.5322286020866925
Glp1r,0.5322286020866925
Gm15821,0.5322286020866925
H2-Aa,0.8534514228882344
H2-Ab1,0.9685631455659446
H2-DMa,0.5322286020866925
H2-DMb1,0.6862466543856541
H2-DMb2,0.6268389657319584
H2-Eb1,0.6570281952427544
H2-Eb2,0.6268389657319584
H2-K1,0.9999869693194835
H2-Ke6,0.5642472157888833
H2-Oa,0.5642472157888833
H2-Ob,0.6570281952427544
H2-Q2,0.5322286020866925
Kifc1,0.5642472157888833
Lst1,0.5322286020866925
Mdga1,0.5322286020866925
Morc2b,0.5642472157888833
Msh5,0.5322286020866925
Myo1f,0.5642472157888833
Notch3,0.6268389657319584
Notch4,0.6862466543856541
Olfr239,0.5322286020866925
Olfr55,0.5322286020866925
Pi16,0.5322286020866925
Pnpla1,0.6268389657319584
Ppil1,0.5322286020866925
Pram1,0.5642472157888833
Psmb8,0.5322286020866925
Psmb9,0.5958499484021504
Rab44,0.5642472157888833
Rgl2,0.5642472157888833
Ring1,0.5322286020866925
Rps18,0.5322286020866925
Rxrb,0.5322286020866925
Sapcd1,0.5642472157888833
Slc39a7,0.5642472157888833
Stk19,0.5642472157888833
Tap1,0.6570281952427544
Tap2,0.5958499484021504
Tapbp,0.5322286020866925
Tnxb,0.9685631455659446
Ubash3a,0.5642472157888833
Umodl1,0.5642472157888833
Vps52,0.9378032195523833
Wdr4,0.5322286020866925
Wdr46,0.6570281952427544
Wiz,0.5322286020866925
Zfp101,0.5322286020866925
Zfp81,0.5642472157888833
Zfp811,0.5322286020866925
Zfp870,0.7411793605989387
Zfp955a,0.6570281952427544
