GENE,"PATHWAY Z-SCORE
"
GM11127,"3.5276346870186956
"
H2-T24,"3.5276346870186956
"
H2-D1,"3.5276346870186956
"
SLC22A13,"3.5276346870186956
"
CD1D2,"3.5276346870186956
"
CD1D1,"3.5276346870186956
"
B2M,"3.5276346870186956
"
AZGP1,"3.5276346870186956
"
GM8909,"3.5276346870186956
"
H2-M10.2,"3.5276346870186956
"
TAP2,"3.5276346870186956
"
ARID5A,"3.5276346870186956
"
H2-M5,"3.5276346870186956
"
H2-BL,"3.5276346870186956
"
HSPD1,"3.5276346870186956
"
IL18,"3.5276346870186956
"
PRKCZ,"3.5276346870186956
"
IL6,"3.5276346870186956
"
IL4,"3.5276346870186956
"
RSAD2,"3.5276346870186956
"
DENND1B,"3.5276346870186956
"
GM7030,"3.5276346870186956
"
IL23A,"3.5276346870186956
"
H2-M10.6,"3.5276346870186956
"
PNP,"3.5276346870186956
"
NLRP3,"3.5276346870186956
"
H2-M10.5,"3.5276346870186956
"
FZD5,"3.5276346870186956
"
TRAF2,"3.5276346870186956
"
ZBTB1,"3.5276346870186956
"
TRAF6,"3.5276346870186956
"
HSPA8,"3.5276346870186956
"
IL18R1,"3.5276346870186956
"
P2RX7,"3.5276346870186956
"
CYRIB,"3.5276346870186956
"
H2-Q8,"3.5276346870186956
"
MALT1,"3.5276346870186956
"
STX7,"3.5276346870186956
"
H2-M10.3,"3.5276346870186956
"
ZP3,"3.5276346870186956
"
SASH3,"3.5276346870186956
"
H2-T3,"3.5276346870186956
"
H2-T23,"3.5276346870186956
"
H2-T22,"3.5276346870186956
"
H2-T10,"3.5276346870186956
"
H2-Q9,"3.5276346870186956
"
H2-Q7,"3.5276346870186956
"
H2-Q6,"3.5276346870186956
"
H2-Q4,"3.5276346870186956
"
H2-Q2,"3.5276346870186956
"
H2-Q10,"3.5276346870186956
"
H2-Q1,"3.5276346870186956
"
H2-M3,"3.5276346870186956
"
H2-M2,"3.5276346870186956
"
H2-M1,"3.5276346870186956
"
H2-L,"3.5276346870186956
"
H2-K1,"3.5276346870186956
"
GATA3,"3.5276346870186956
"
P01896,"3.5276346870186956
"
CD24A,"3.5276346870186956
"
XCL1,"3.5276346870186956
"
TNFSF4,"3.5276346870186956
"
IL1R1,"3.5276346870186956
"
IL1B,"3.5276346870186956
"
IL12B,"3.5276346870186956
"
IL12A,"3.5276346870186956
"
MR1,"3.5276346870186956
"
FADD,"3.5276346870186956
"
H2-M11,"3.5276346870186956
"
CD81,"3.5276346870186956
"
SLAMF1,"3.5276346870186956
"
H2-M9,"3.5276346870186956
"
H2-M10.4,"3.5276346870186956
"
H2-M10.1,"3.5276346870186956
"
FOXP3,"3.5276346870186956
"
NECTIN2,"3.5276346870186956
"
PTPRC,"3.5276346870186956
"
KCNH1,"3.5276346870186956
"
GNAO1,"3.5276346870186956
"
KCNH3,"3.5276346870186956
"
KCNH2,"3.5276346870186956
"
CSDE1,"3.5276346870186956
"
GTPBP2,"3.5276346870186956
"
PELO,"3.5276346870186956
"
CNOT6,"3.5276346870186956
"
DRD4,"3.5276346870186956
"
DRD3,"3.5276346870186956
"
DRD2,"3.5276346870186956
"
IL4I1,"1.727544673113082
"
SPN,"1.9847003893853126
"
FUT7,"1.4703889568408515
"
HFE,"1.4703889568408515
"
DPP4,"1.727544673113082
"
NOD2,"3.270478970746465
"
CCR2,"2.756167538202004
"
ARG1,"2.4990118219297734
"
AGER,"1.727544673113082
"
PPP3CB,"1.4703889568408515
"
AHR,"1.4703889568408515
"
IFNB1,"1.4703889568408515
"
IL7R,"1.727544673113082
"
WAS,"1.4703889568408515
"
NCKAP1L,"1.9847003893853126
"
RIPK3,"1.4703889568408515
"
SMAD7,"1.4703889568408515
"
TNFRSF1B,"1.4703889568408515
"
TBX21,"3.270478970746465
"
MUC4,"1.4703889568408515
"
IL20RB,"1.4703889568408515
"
KLRD1,"2.756167538202004
"
VSIR,"1.727544673113082
"
DUSP22,"1.9847003893853126
"
TRPM4,"1.4703889568408515
"
KLRC1,"1.4703889568408515
"
CLEC4G,"1.4703889568408515
"
