Gene,Pathway Z-Score
Gm11127,3.5276346870186956
H2-T24,3.5276346870186956
H2-D1,3.5276346870186956
Slc22a13,3.5276346870186956
Cd1d2,3.5276346870186956
Cd1d1,3.5276346870186956
B2m,3.5276346870186956
Azgp1,3.5276346870186956
Gm8909,3.5276346870186956
H2-M10.2,3.5276346870186956
Tap2,3.5276346870186956
Arid5a,3.5276346870186956
H2-M5,3.5276346870186956
H2-Bl,3.5276346870186956
Hspd1,3.5276346870186956
Il18,3.5276346870186956
Prkcz,3.5276346870186956
Il6,3.5276346870186956
Il4,3.5276346870186956
Rsad2,3.5276346870186956
Dennd1b,3.5276346870186956
Gm7030,3.5276346870186956
Il23a,3.5276346870186956
H2-M10.6,3.5276346870186956
Pnp,3.5276346870186956
Nlrp3,3.5276346870186956
H2-M10.5,3.5276346870186956
Fzd5,3.5276346870186956
Traf2,3.5276346870186956
Zbtb1,3.5276346870186956
Traf6,3.5276346870186956
Hspa8,3.5276346870186956
Il18r1,3.5276346870186956
P2rx7,3.5276346870186956
Cyrib,3.5276346870186956
H2-Q8,3.5276346870186956
Malt1,3.5276346870186956
Stx7,3.5276346870186956
H2-M10.3,3.5276346870186956
Zp3,3.5276346870186956
Sash3,3.5276346870186956
H2-T3,3.5276346870186956
H2-T23,3.5276346870186956
H2-T22,3.5276346870186956
H2-T10,3.5276346870186956
H2-Q9,3.5276346870186956
H2-Q7,3.5276346870186956
H2-Q6,3.5276346870186956
H2-Q4,3.5276346870186956
H2-Q2,3.5276346870186956
H2-Q10,3.5276346870186956
H2-Q1,3.5276346870186956
H2-M3,3.5276346870186956
H2-M2,3.5276346870186956
H2-M1,3.5276346870186956
H2-L,3.5276346870186956
H2-K1,3.5276346870186956
Gata3,3.5276346870186956
P01896,3.5276346870186956
Cd24a,3.5276346870186956
Xcl1,3.5276346870186956
Tnfsf4,3.5276346870186956
Il1r1,3.5276346870186956
Il1b,3.5276346870186956
Il12b,3.5276346870186956
Il12a,3.5276346870186956
Mr1,3.5276346870186956
Fadd,3.5276346870186956
H2-M11,3.5276346870186956
Cd81,3.5276346870186956
Slamf1,3.5276346870186956
H2-M9,3.5276346870186956
H2-M10.4,3.5276346870186956
H2-M10.1,3.5276346870186956
Foxp3,3.5276346870186956
Nectin2,3.5276346870186956
Ptprc,3.5276346870186956
Kcnh1,3.5276346870186956
Gnao1,3.5276346870186956
Kcnh3,3.5276346870186956
Kcnh2,3.5276346870186956
Csde1,3.5276346870186956
Gtpbp2,3.5276346870186956
Pelo,3.5276346870186956
Cnot6,3.5276346870186956
Drd4,3.5276346870186956
Drd3,3.5276346870186956
Drd2,3.5276346870186956
Gm11127,3.270478970746465
H2-T24,3.270478970746465
Il4i1,1.727544673113082
Spn,1.9847003893853126
H2-D1,3.270478970746465
Slc22a13,3.270478970746465
Fut7,1.4703889568408515
Cd1d2,3.270478970746465
Cd1d1,3.270478970746465
B2m,3.270478970746465
Hfe,1.4703889568408515
Dpp4,1.727544673113082
Azgp1,3.270478970746465
Nod2,3.270478970746465
Gm8909,3.270478970746465
Ccr2,2.756167538202004
H2-M10.2,3.270478970746465
Tap2,3.270478970746465
Arid5a,3.270478970746465
H2-M5,3.270478970746465
Arg1,2.4990118219297734
Ager,1.727544673113082
Ppp3cb,1.4703889568408515
H2-Bl,3.270478970746465
Ahr,1.4703889568408515
Hspd1,3.270478970746465
Ifnb1,1.4703889568408515
Il18,3.270478970746465
Prkcz,3.270478970746465
Il7r,1.727544673113082
Il6,3.270478970746465
Il4,3.270478970746465
Rsad2,3.270478970746465
Dennd1b,3.270478970746465
Gm7030,3.270478970746465
Il23a,3.270478970746465
H2-M10.6,3.270478970746465
Pnp,3.270478970746465
Nlrp3,3.270478970746465
Was,1.4703889568408515
H2-M10.5,3.270478970746465
Fzd5,3.270478970746465
Traf2,3.270478970746465
Zbtb1,3.270478970746465
Nckap1l,1.9847003893853126
Ripk3,1.4703889568408515
Traf6,3.270478970746465
Hspa8,3.270478970746465
Il18r1,3.270478970746465
P2rx7,3.270478970746465
Cyrib,3.270478970746465
H2-Q8,3.270478970746465
