Gene,Mutation Z-Score
2-Mar,0.794283544022534
1110038B12Rik,-0.45839643946529063
1700030A11Rik,0.6505333819829476
1700031A10Rik,-0.3967892271626107
1700097N02Rik,-0.08875316564921122
2300002M23Rik,-0.10928890308343786
2310061I04Rik,-0.2735748025572509
2410017I17Rik,-0.437860702031064
2410137M14Rik,-0.437860702031064
4833413E03Rik,-0.37625348972838407
4833427F10Rik,-0.37625348972838407
4921501E09Rik,1.2049982927070666
4930539E08Rik,0.01392552152192194
4931413I07Rik,-0.4173249645968374
A930015D03Rik,-0.45839643946529063
Abcf1,-0.3967892271626107
Abcg1,-0.37625348972838407
Abhd16a,-0.08875316564921122
Actl9,0.03446125895614857
Adamts10,1.4924986167862397
Ager,-0.23250332768879767
Agpat1,-0.3967892271626107
Aif1,-0.2735748025572509
Akap8,-0.45839643946529063
Akap8l,-0.437860702031064
Angptl4,-0.12982464051766449
Apom,-0.3557177522941575
Atat1,-0.3557177522941575
Atf6b,-0.17089611538611776
Atp6v1g2,-0.3146462774257042
B3galt4,0.7532120691540808
Bag6,-0.4173249645968374
BC004004,1.5130343542204663
BC033916,0.01392552152192194
BC051142,0.6094619071144943
BC051226,0.01392552152192194
BC051537,0.794283544022534
Brd2,0.9174979686278938
Brd4,0.09606847125882848
Brpf3,-0.0682174282149846
Btbd9,0.38356879533800137
Btnl1,0.07553273382460184
Btnl2,1.6567845162600527
Btnl4,8.782685405936695
Btnl5-ps,7.345183785540829
Btnl6,5.661253315934246
Btnl7-ps,1.7183917285627326
C2,-0.3146462774257042
C4a,1.5541058290889196
C4b,0.9791051809305737
C920025E04Rik,-0.45839643946529063
Cbs,0.4246402702064546
Ccdc167,-0.3967892271626107
Cchcr1,0.03446125895614857
Cd320,-0.3967892271626107
Cdkn1a,1.6362487788258262
Cfb,-0.45839643946529063
Clic1,-0.3351820148599308
Cmtr1,-0.23250332768879767
Col11a2,3.8746441591565293
Cpne5,-0.12982464051766449
CR974439.1,-0.23250332768879767
CR974439.2,-0.437860702031064
Cryaa,-0.3967892271626107
Csnk2b,-0.45839643946529063
Cyp21a1,0.9380337060621204
Cyp21a2-ps,0.7326763317198541
Cyp4f13,1.697855991128506
Cyp4f14,1.081783868101707
Cyp4f15,-0.15036037795189114
Cyp4f16,-0.437860702031064
Cyp4f17,-0.3967892271626107
Cyp4f39,-0.45839643946529063
Cyp4f40,-0.45839643946529063
Cyp4f41-ps,1.6773202536942795
Daxx,0.4862474825091345
Ddah2,-0.29411053999147757
Ddr1,-0.2735748025572509
Ddx39b,-0.3557177522941575
Dhx16,-0.23250332768879767
Dnah8,-0.047681690780757964
Dpcr1,-0.437860702031064
Dxo,-0.37625348972838407
Egfl8,-0.37625348972838407
Ephx3,-0.02714595334653133
Esp18,-0.3351820148599308
Esp23,-0.4173249645968374
Esp24,-0.4173249645968374
Esp31,-0.1914318528203444
Esp34,-0.2530390651230243
Esp36,-0.45839643946529063
Fgd2,4.305894645275289
Fkbpl,-0.37625348972838407
Flot1,-0.23250332768879767
G6b,-0.3351820148599308
Gabbr1,0.07553273382460184
Glo1,-0.2735748025572509
Glp1r,0.13713994612728175
Gm10045,0.07553273382460184
Gm10074,-0.3557177522941575
Gm10499,-0.45839643946529063
Gm11127,-0.437860702031064
Gm11131,-0.3557177522941575
Gm15318,-0.3967892271626107
Gm15320,1.2255340301412934
Gm15321,-0.4173249645968374
Gm15329,-0.3967892271626107
Gm15331,3.217500561261277
Gm15332,1.1023196055359334
Gm15821,0.8764264937594406
Gm16181,-0.3557177522941575
Gm16191,-0.2735748025572509
Gm16194,1.6567845162600527
Gm16195,-0.3557177522941575
Gm16279,-0.3557177522941575
Gm16758,-0.2530390651230243
Gm17115,0.3630330579037747
Gm17251,0.6916048568514008
Gm17276,0.09606847125882848
Gm17572,-0.29411053999147757
Gm17657,-0.3967892271626107
Gm17705,-0.45839643946529063
Gm17782,-0.437860702031064
Gm18522,-0.37625348972838407
Gm18604,-0.45839643946529063
Gm18733,-0.3967892271626107
Gm18734,-0.437860702031064
Gm18808,-0.3557177522941575
Gm19412,0.178211420995735
Gm19553,-0.437860702031064
Gm19684,-0.45839643946529063
Gm19807,-0.45839643946529063
Gm20391,-0.1914318528203444
Gm20392,-0.3351820148599308
Gm20409,-0.45839643946529063
Gm20427,-0.17089611538611776
Gm20429,-0.3351820148599308
Gm20442,-0.37625348972838407
Gm20443,-0.3146462774257042
Gm20447,-0.21196759025457104
Gm20450,-0.15036037795189114
Gm20451,-0.29411053999147757
Gm20452,-0.3146462774257042
Gm20453,-0.437860702031064
Gm20454,-0.3146462774257042
Gm20460,-0.29411053999147757
Gm20462,1.471962879352013
Gm20463,-0.45839643946529063
Gm20483,-0.45839643946529063
Gm20493,0.26035437073264156
Gm20495,-0.45839643946529063
Gm20496,1.1639268178386135
Gm20497,-0.45839643946529063
Gm20506,1.7389274659969594
Gm20507,-0.006610215912304694
Gm20508,-0.437860702031064
Gm20513,0.6710691194171742
Gm20523,-0.45839643946529063
Gm20524,-0.45839643946529063
Gm20525,-0.2530390651230243
Gm20526,-0.4173249645968374
Gm20530,-0.437860702031064
Gm20541,-0.45839643946529063
Gm20542,-0.437860702031064
Gm20543,-0.45839643946529063
Gm20546,-0.3351820148599308
Gm20547,-0.437860702031064
Gm20549,-0.3146462774257042
Gm21903,-0.45839643946529063
Gm22327,-0.1914318528203444
Gm22388,-0.437860702031064
Gm22453,-0.3351820148599308
Gm22943,-0.3351820148599308
Gm23111,0.178211420995735
Gm23294,1.18446255527284
Gm23421,-0.437860702031064
Gm23442,-0.45839643946529063
Gm23887,-0.45839643946529063
Gm24026,-0.23250332768879767
Gm24389,-0.3557177522941575
Gm24661,-0.37625348972838407
Gm24970,-0.45839643946529063
Gm25049,-0.3557177522941575
Gm25104,-0.4173249645968374
Gm25128,-0.437860702031064
Gm25447,-0.3351820148599308
Gm25555,0.4862474825091345
Gm25667,-0.10928890308343786
Gm25883,-0.29411053999147757
Gm26549,-0.2735748025572509
Gm26858,-0.45839643946529063
Gm26885,-0.0682174282149846
Gm26940,0.03446125895614857
Gm27471,-0.10928890308343786
Gm27599,0.03446125895614857
Gm27735,-0.4173249645968374
Gm27740,0.5889261696802677
Gm28033,-0.3967892271626107
Gm28043,-0.437860702031064
Gm28052,-0.37625348972838407
Gm318,-0.4173249645968374
Gm4134,-0.437860702031064
Gm4152,2.478214013629118
Gm4246,-0.3351820148599308
Gm4252,-0.3351820148599308
Gm4256,-0.3351820148599308
Gm4271,-0.21196759025457104
Gm4461,-0.1914318528203444
Gm4830,-0.3967892271626107
Gm4831,-0.3351820148599308
Gm5227,-0.437860702031064
Gm5682,-0.437860702031064
Gm6034,-0.437860702031064
Gm6623,-0.45839643946529063
Gm6633,-0.3557177522941575
Gm6659,-0.45839643946529063
Gm6726,-0.45839643946529063
Gm7031,-0.437860702031064
Gm8741,-0.37625348972838407
Gm8750,-0.37625348972838407
Gm8752,-0.4173249645968374
Gm8801,-0.3967892271626107
Gm8815,-0.437860702031064
Gm8835,-0.29411053999147757
Gm8868,-0.45839643946529063
Gm8877,-0.37625348972838407
Gm8878,-0.29411053999147757
Gm9573,-0.3967892271626107
Gm9574,-0.437860702031064
Gm9577,-0.3557177522941575
Gm9612,-0.37625348972838407
Gm9613,-0.45839643946529063
Gm9840,-0.3967892271626107
Gnl1,-0.437860702031064
Gpank1,-0.4173249645968374
Gpsm3,-0.4173249645968374
Gtf2h4,-0.15036037795189114
H2-Aa,3.155893348958597
H2-Ab1,6.605897237908671
H2-Bl,-0.437860702031064
H2-D1,-0.12982464051766449
H2-DMa,-0.0682174282149846
H2-DMb1,3.730893997116943
H2-DMb2,1.24606976757552
H2-Ea-ps,0.8558907563252139
H2-Eb1,1.6567845162600527
H2-Eb2,0.629997644548721
H2-K1,7.447862472711963
H2-K2,0.629997644548721
H2-Ke6,-0.2735748025572509
H2-M10.1,-0.4173249645968374
H2-M10.2,-0.3967892271626107
H2-M10.3,-0.437860702031064
